patrol_id,date_id,date,zone_id,ranger_id,hours_patrolled,sightings_count,risk_score
1,861,2025-05-10,15,34,7,3,0.38
2,1045,2025-11-10,10,5,7,3,0.86
3,122,2023-05-02,6,25,3,1,0.58
4,467,2024-04-11,13,28,3,3,0.9
5,331,2023-11-27,7,14,5,1,0.35
6,88,2023-03-29,1,27,5,4,0.84
7,872,2025-05-21,11,16,8,3,0.66
8,131,2023-05-11,14,27,8,3,0.81
9,770,2025-02-08,6,2,8,3,0.84
10,344,2023-12-10,5,19,5,4,0.46
11,806,2025-03-16,19,23,4,2,0.8
12,386,2024-01-21,19,14,6,2,0.89
13,956,2025-08-13,13,26,3,4,0.63
14,277,2023-10-04,7,8,5,0,0.31
15,460,2024-04-04,8,27,4,0,0.32
16,22,2023-01-22,14,40,7,1,0.7
17,253,2023-09-10,19,28,6,4,0.36
18,748,2025-01-17,19,4,7,5,0.43
19,857,2025-05-06,12,38,8,0,0.52
20,475,2024-04-19,9,11,7,1,0.83
21,1083,2025-12-18,14,24,6,3,0.67
22,511,2024-05-25,6,28,4,3,0.33
23,700,2024-11-30,15,18,7,0,0.21
24,976,2025-09-02,13,21,4,5,0.33
25,190,2023-07-09,7,26,7,1,0.37
26,958,2025-08-15,11,3,5,1,0.69
27,687,2024-11-17,10,13,8,5,0.44
28,958,2025-08-15,1,38,6,2,0.9
29,563,2024-07-16,7,28,3,5,0.13
30,832,2025-04-11,18,14,6,0,0.38
31,647,2024-10-08,3,1,7,2,0.17
32,21,2023-01-21,9,28,7,4,0.39
33,841,2025-04-20,5,36,8,1,0.45
34,167,2023-06-16,13,11,5,5,0.81
35,388,2024-01-23,16,40,5,2,0.44
36,601,2024-08-23,16,4,6,1,0.12
37,316,2023-11-12,12,34,3,4,0.86
38,14,2023-01-14,18,1,8,2,0.22
39,242,2023-08-30,11,10,6,5,0.72
40,777,2025-02-15,17,17,3,4,0.26
41,565,2024-07-18,7,7,4,1,0.84
42,898,2025-06-16,15,39,7,1,0.28
43,92,2023-04-02,6,13,4,5,0.78
44,956,2025-08-13,6,22,6,3,0.43
45,509,2024-05-23,18,1,3,1,0.46
46,776,2025-02-14,19,28,3,3,0.6
47,35,2023-02-04,20,33,4,4,0.49
48,206,2023-07-25,19,13,5,0,0.37
49,1026,2025-10-22,2,1,5,4,0.29
50,1022,2025-10-18,3,38,8,5,0.31
51,566,2024-07-19,14,25,4,3,0.66
52,703,2024-12-03,4,21,5,5,0.19
53,402,2024-02-06,17,33,3,0,0.55
54,730,2024-12-30,6,37,6,3,0.4
55,162,2023-06-11,19,34,5,1,0.38
56,202,2023-07-21,9,3,8,5,0.67
57,996,2025-09-22,4,30,3,3,0.5
58,270,2023-09-27,7,3,8,0,0.16
59,816,2025-03-26,4,18,6,3,0.83
60,456,2024-03-31,11,23,3,5,0.82
61,1017,2025-10-13,2,8,7,2,0.44
62,296,2023-10-23,10,9,6,2,0.11
63,720,2024-12-20,6,2,7,4,0.15
64,338,2023-12-04,8,2,5,4,0.49
65,879,2025-05-28,15,27,8,0,0.17
66,1077,2025-12-12,13,39,5,3,0.45
67,792,2025-03-02,2,36,3,1,0.25
68,217,2023-08-05,20,5,4,5,0.74
69,764,2025-02-02,1,1,3,0,0.39
70,188,2023-07-07,15,22,8,5,0.4
71,380,2024-01-15,7,10,8,0,0.12
72,493,2024-05-07,18,24,8,0,0.62
73,1065,2025-11-30,10,15,7,5,0.72
74,15,2023-01-15,15,33,8,4,0.31
75,65,2023-03-06,5,23,6,0,0.59
76,521,2024-06-04,11,14,4,3,0.62
77,648,2024-10-09,8,18,3,0,0.6
78,1087,2025-12-22,8,25,7,1,0.66
79,593,2024-08-15,6,22,7,0,0.73
80,392,2024-01-27,15,37,5,4,0.71
81,419,2024-02-23,15,7,3,4,0.56
82,289,2023-10-16,5,26,3,1,0.85
83,379,2024-01-14,13,24,8,0,0.72
84,231,2023-08-19,14,13,8,0,0.81
85,1018,2025-10-14,11,6,7,5,0.51
86,41,2023-02-10,20,21,3,0,0.66
87,1052,2025-11-17,12,7,8,4,0.79
88,135,2023-05-15,20,18,5,0,0.53
89,201,2023-07-20,1,15,4,4,0.8
90,780,2025-02-18,3,8,7,4,0.68
91,930,2025-07-18,8,16,5,3,0.7
92,1057,2025-11-22,12,3,5,2,0.84
93,1072,2025-12-07,15,9,6,4,0.36
94,503,2024-05-17,3,26,4,2,0.58
95,407,2024-02-11,8,26,5,3,0.32
96,805,2025-03-15,19,30,6,2,0.52
97,99,2023-04-09,20,27,6,2,0.45
98,684,2024-11-14,6,16,3,1,0.47
99,726,2024-12-26,18,4,8,1,0.27
100,961,2025-08-18,11,19,5,5,0.6
101,613,2024-09-04,12,34,7,2,0.74
102,643,2024-10-04,2,6,3,4,0.31
103,1029,2025-10-25,5,15,4,0,0.2
104,503,2024-05-17,4,10,8,0,0.3
105,767,2025-02-05,9,36,7,3,0.7
106,398,2024-02-02,13,40,7,4,0.15
107,871,2025-05-20,13,6,6,5,0.59
108,795,2025-03-05,15,40,5,2,0.76
109,393,2024-01-28,2,6,6,1,0.74
110,207,2023-07-26,13,15,6,0,0.89
111,1039,2025-11-04,7,29,5,2,0.73
112,892,2025-06-10,17,25,5,0,0.21
113,864,2025-05-13,8,19,5,1,0.38
114,743,2025-01-12,18,14,6,1,0.27
115,564,2024-07-17,15,3,8,5,0.4
116,1021,2025-10-17,15,14,5,4,0.61
117,96,2023-04-06,5,39,5,2,0.33
118,485,2024-04-29,2,39,7,2,0.2
119,231,2023-08-19,16,21,6,3,0.67
120,749,2025-01-18,5,11,5,3,0.19
121,541,2024-06-24,6,10,6,1,0.86
122,1060,2025-11-25,12,15,4,4,0.59
123,525,2024-06-08,5,30,3,2,0.71
124,578,2024-07-31,20,17,7,4,0.76
125,682,2024-11-12,8,29,7,1,0.61
126,557,2024-07-10,11,17,6,1,0.66
127,1013,2025-10-09,14,33,5,3,0.73
128,646,2024-10-07,17,38,6,5,0.46
129,796,2025-03-06,10,21,8,3,0.1
130,1052,2025-11-17,2,14,3,2,0.87
131,190,2023-07-09,3,10,7,4,0.29
132,633,2024-09-24,13,23,7,1,0.22
133,628,2024-09-19,17,39,3,3,0.84
134,973,2025-08-30,3,39,6,4,0.53
135,710,2024-12-10,10,14,7,1,0.32
136,649,2024-10-10,8,22,5,4,0.85
137,318,2023-11-14,4,28,6,5,0.78
138,684,2024-11-14,13,9,5,0,0.46
139,664,2024-10-25,7,23,8,0,0.86
140,442,2024-03-17,7,7,8,3,0.17
141,564,2024-07-17,16,24,8,0,0.85
142,952,2025-08-09,5,37,4,1,0.47
143,699,2024-11-29,17,9,3,3,0.47
144,113,2023-04-23,10,38,8,4,0.46
145,2,2023-01-02,4,7,7,2,0.44
146,642,2024-10-03,14,23,3,0,0.53
147,220,2023-08-08,5,25,3,0,0.9
148,855,2025-05-04,2,22,5,3,0.11
149,385,2024-01-20,14,7,7,1,0.5
150,1077,2025-12-12,18,6,4,0,0.33
151,730,2024-12-30,11,36,3,4,0.24
152,247,2023-09-04,16,22,5,1,0.84
153,836,2025-04-15,18,35,8,0,0.41
154,203,2023-07-22,16,33,5,5,0.54
155,123,2023-05-03,4,21,8,5,0.84
156,401,2024-02-05,1,11,7,0,0.48
157,767,2025-02-05,14,13,6,4,0.33
158,294,2023-10-21,12,3,6,0,0.18
159,280,2023-10-07,10,13,4,1,0.58
160,884,2025-06-02,19,34,8,2,0.83
161,198,2023-07-17,4,28,5,2,0.16
162,982,2025-09-08,20,40,6,0,0.46
163,752,2025-01-21,3,34,3,3,0.63
164,144,2023-05-24,4,32,4,1,0.18
165,609,2024-08-31,15,23,8,2,0.16
166,187,2023-07-06,11,24,3,3,0.26
167,464,2024-04-08,16,1,6,2,0.21
168,660,2024-10-21,4,24,5,3,0.4
169,764,2025-02-02,6,3,6,0,0.43
